date,scientific_name,common_name,zone,site,plot,pit,spp,sex,rcap,toe_num,sv_length,total_length,weight,tail,pc
3/17/92,unknown lizard,unknown,c,sand,a,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
3/17/92,holbrookia maculata,lesser earless,g,basn,b,16,homa,f,n,23,35,70,2,w,0
3/17/92,uta stansburiana,side-blotched lizard,g,ibpe,a,1,utst,m,n,2200,48,125,4,w,0
3/17/92,uta stansburiana,side-blotched lizard,g,ibpe,a,1,utst,f,n,2201,45,83,3,b,0
3/17/92,cnemidophorus inornatus,little striped,g,ibpe,c,12,cnin,m,n,43,45,158,3,w,0
3/17/92,uta stansburiana,side-blotched lizard,m,rabb,a,6,utst,m,r,1553,47,121,5,w,0
3/17/92,unknown lizard,unknown,m,rabb,c,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
3/17/92,unknown lizard,unknown,m,well,b,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
3/17/92,unknown lizard,unknown,t,east,b,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
3/17/92,sceloporus undulatus,eastern fence,t,west,a,1,scun,m,n,224,43,108,3,w,1
6/16/92,unknown lizard,unknown,c,cali,a,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
6/16/92,unknown lizard,unknown,c,grav,d,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
6/16/92,unknown lizard,unknown,c,sand,b,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
6/16/92,cnemidophorus inornatus,little striped,g,basn,b,5,cnin,m,n,44,47,135,3,w,0
